STATE,COUNTY,STNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
1,0,Alabama,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785298,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5050380,5073903
1,1,Alabama,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54632,55229,54970,54747,54922,54903,55302,55448,55533,55769,56145,59203,59726
1,3,Alabama,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183195,186579,190203,194978,199306,203101,207787,212737,218071,223565,229287,239439,246531
1,5,Alabama,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27411,27344,27172,26946,26768,26300,25828,25169,24887,24657,24589,24533,24700
1,7,Alabama,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22867,22736,22657,22510,22541,22553,22590,22532,22300,22313,22136,22359,21986
1,9,Alabama,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57338,57561,57585,57630,57536,57535,57487,57801,57770,57840,57879,59079,59516
1,11,Alabama,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10890,10680,10610,10557,10668,10404,10397,10181,10165,10144,9976,10143,10143
1,13,Alabama,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20951,20867,20672,20359,20332,20168,20040,19911,19675,19501,19504,18890,18668
1,15,Alabama,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118510,117767,117227,116528,115991,115550,115036,114746,114298,114070,113469,115678,115780
1,17,Alabama,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34157,34016,34088,34125,33964,33991,33742,33716,33570,33244,32865,34488,34164
1,19,Alabama,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25991,25993,25961,26022,25900,25739,25769,25822,26035,26254,26294,25074,25353
1,21,Alabama,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43682,43682,43572,43617,43751,43693,43854,44085,44084,44313,44397,45259,45848
1,23,Alabama,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13820,13608,13565,13401,13322,13237,13049,12923,12810,12577,12418,12548,12431
1,25,Alabama,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25763,25589,25161,25131,24873,24711,24342,24083,23965,23651,23291,22740,22574
1,27,Alabama,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13897,13687,13433,13406,13443,13415,13393,13355,13301,13265,13112,14170,14183
1,29,Alabama,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,14988,14928,14889,14974,15029,14923,14871,14924,15047,14952,14967,15156,15372
1,31,Alabama,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,50104,50449,51159,50709,50693,51004,51281,51943,52097,52639,53230,54199,54840
1,33,Alabama,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54433,54545,54578,54544,54484,54439,54483,54682,54970,55241,55411,57644,57993
1,35,Alabama,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13202,13194,13043,12908,12674,12677,12495,12431,12264,12055,11851,11320,11224
1,37,Alabama,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11556,11483,11343,11252,11037,10935,10812,10724,10619,10677,10650,10314,10307
1,39,Alabama,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,37776,38023,37809,37820,37766,37566,37400,37077,36993,37082,36930,37570,37603
1,41,Alabama,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,13857,13894,13914,13847,13851,13851,13911,13871,13855,13811,13681,13069,13048
